pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P14')","('anger', 'happiness')",P0,P14,anger,happiness,False,True,0.11491358129793812
"('P0', 'P14')","('anger', 'surprise')",P0,P14,anger,surprise,False,True,0.2114487976291056
"('P0', 'P14')","('disgust', 'neutral')",P0,P14,disgust,neutral,False,True,-0.19570407381753505
"('P0', 'P14')","('disgust', 'fear')",P0,P14,disgust,fear,False,True,-0.20984169363397365
"('P0', 'P14')","('disgust', 'anger')",P0,P14,disgust,anger,False,True,-0.29212294449807114
"('P0', 'P14')","('disgust', 'disgust')",P0,P14,disgust,disgust,True,True,0.18630592081643027
"('P0', 'P14')","('disgust', 'sadness')",P0,P14,disgust,sadness,False,True,0.10366095018411738
"('P0', 'P14')","('disgust', 'happiness')",P0,P14,disgust,happiness,False,True,-0.09861013245773392
"('P0', 'P14')","('disgust', 'surprise')",P0,P14,disgust,surprise,False,True,-0.10761320969262078
"('P0', 'P14')","('sadness', 'neutral')",P0,P14,sadness,neutral,False,True,-0.15434367938575688
"('P0', 'P14')","('sadness', 'fear')",P0,P14,sadness,fear,False,True,-0.22542299915151023
"('P0', 'P14')","('sadness', 'anger')",P0,P14,sadness,anger,False,True,-0.2676040433577784
"('P0', 'P14')","('sadness', 'disgust')",P0,P14,sadness,disgust,False,True,0.1883371560480971
"('P0', 'P14')","('sadness', 'sadness')",P0,P14,sadness,sadness,True,True,0.11353293173482659
"('P0', 'P14')","('sadness', 'happiness')",P0,P14,sadness,happiness,False,True,-0.09898077319208479
"('P0', 'P14')","('sadness', 'surprise')",P0,P14,sadness,surprise,False,True,-0.13952747977859178
"('P0', 'P14')","('happiness', 'neutral')",P0,P14,happiness,neutral,False,True,-0.3027320912983387
"('P0', 'P14')","('happiness', 'fear')",P0,P14,happiness,fear,False,True,-0.17432409818990807
"('P0', 'P14')","('happiness', 'anger')",P0,P14,happiness,anger,False,True,-0.40467416783861165
"('P0', 'P14')","('happiness', 'disgust')",P0,P14,happiness,disgust,False,True,0.1346471345788514
"('P0', 'P14')","('happiness', 'sadness')",P0,P14,happiness,sadness,False,True,0.0908855477067493
"('P0', 'P14')","('happiness', 'happiness')",P0,P14,happiness,happiness,True,True,-0.08009042585108196
"('P0', 'P14')","('happiness', 'surprise')",P0,P14,happiness,surprise,False,True,-0.13170799811792025
"('P0', 'P14')","('surprise', 'neutral')",P0,P14,surprise,neutral,False,True,-0.0034407901233373898
"('P0', 'P14')","('surprise', 'fear')",P0,P14,surprise,fear,False,True,0.1250680429193891
"('P0', 'P14')","('surprise', 'anger')",P0,P14,surprise,anger,False,True,0.0010298829349229112
"('P0', 'P14')","('surprise', 'disgust')",P0,P14,surprise,disgust,False,True,0.1704463298721388
"('P0', 'P14')","('surprise', 'sadness')",P0,P14,surprise,sadness,False,True,0.14896219459220889
"('P0', 'P14')","('surprise', 'happiness')",P0,P14,surprise,happiness,False,True,0.03756984773378361
"('P0', 'P14')","('surprise', 'surprise')",P0,P14,surprise,surprise,True,True,-0.0639748140671738
"('P0', 'P15')","('neutral', 'neutral')",P0,P15,neutral,neutral,True,True,0.04077693613159009
"('P0', 'P15')","('neutral', 'fear')",P0,P15,neutral,fear,False,True,-0.0004059331983842858
"('P0', 'P15')","('neutral', 'anger')",P0,P15,neutral,anger,False,True,-0.0023294507538780722
"('P0', 'P15')","('neutral', 'disgust')",P0,P15,neutral,disgust,False,True,-0.0476343262944372
"('P0', 'P15')","('neutral', 'sadness')",P0,P15,neutral,sadness,False,True,0.08331501385516794
"('P0', 'P15')","('neutral', 'happiness')",P0,P15,neutral,happiness,False,True,0.03742859377006867
"('P0', 'P15')","('neutral', 'surprise')",P0,P15,neutral,surprise,False,True,-0.008302862390038907
"('P0', 'P15')","('fear', 'neutral')",P0,P15,fear,neutral,False,True,0.006850955456092481
"('P0', 'P15')","('fear', 'fear')",P0,P15,fear,fear,True,True,0.15133011973322494
"('P0', 'P15')","('fear', 'anger')",P0,P15,fear,anger,False,True,0.12087999223677913
"('P0', 'P15')","('fear', 'disgust')",P0,P15,fear,disgust,False,True,-0.03296818017659429
"('P0', 'P15')","('fear', 'sadness')",P0,P15,fear,sadness,False,True,0.031694056700620615
"('P0', 'P15')","('fear', 'happiness')",P0,P15,fear,happiness,False,True,-0.027625963392557726
