pair_subj,pair_emo,subj_i,subj_j,emotion1,emotion2,matched,same_culture,rho
"('P0', 'P14')","('surprise', 'disgust')",P0,P14,surprise,disgust,False,True,0.1658402552580179
"('P0', 'P14')","('surprise', 'sadness')",P0,P14,surprise,sadness,False,True,0.1448399902177393
"('P0', 'P14')","('surprise', 'happiness')",P0,P14,surprise,happiness,False,True,0.0384567507525729
"('P0', 'P14')","('surprise', 'surprise')",P0,P14,surprise,surprise,True,True,-0.0650512722243339
"('P0', 'P17')","('neutral', 'neutral')",P0,P17,neutral,neutral,True,True,-0.0261111380301861
"('P0', 'P17')","('neutral', 'fear')",P0,P17,neutral,fear,False,True,-0.004086685607713
"('P0', 'P17')","('neutral', 'anger')",P0,P17,neutral,anger,False,True,0.0958191038572586
"('P0', 'P17')","('neutral', 'disgust')",P0,P17,neutral,disgust,False,True,0.0559259589771857
"('P0', 'P17')","('neutral', 'sadness')",P0,P17,neutral,sadness,False,True,0.0042930023192211
"('P0', 'P17')","('neutral', 'happiness')",P0,P17,neutral,happiness,False,True,-0.1331072320137785
"('P0', 'P17')","('neutral', 'surprise')",P0,P17,neutral,surprise,False,True,0.0465147272234782
"('P0', 'P17')","('fear', 'neutral')",P0,P17,fear,neutral,False,True,-0.2592352195504282
"('P0', 'P17')","('fear', 'fear')",P0,P17,fear,fear,True,True,0.1455484678676069
"('P0', 'P17')","('fear', 'anger')",P0,P17,fear,anger,False,True,-0.1311430367432604
"('P0', 'P17')","('fear', 'disgust')",P0,P17,fear,disgust,False,True,-0.0658116054127258
"('P0', 'P17')","('fear', 'sadness')",P0,P17,fear,sadness,False,True,0.1160261798477641
"('P0', 'P17')","('fear', 'happiness')",P0,P17,fear,happiness,False,True,0.0207117410216915
"('P0', 'P17')","('fear', 'surprise')",P0,P17,fear,surprise,False,True,0.0955721047053429
"('P0', 'P17')","('anger', 'neutral')",P0,P17,anger,neutral,False,True,-0.1343623616686785
"('P0', 'P17')","('anger', 'fear')",P0,P17,anger,fear,False,True,0.2282177307740275
"('P0', 'P17')","('anger', 'anger')",P0,P17,anger,anger,True,True,0.1047117642842835
"('P0', 'P17')","('anger', 'disgust')",P0,P17,anger,disgust,False,True,0.163486768808856
"('P0', 'P17')","('anger', 'sadness')",P0,P17,anger,sadness,False,True,0.0749104509556967
"('P0', 'P17')","('anger', 'happiness')",P0,P17,anger,happiness,False,True,-0.0153805523169243
"('P0', 'P17')","('anger', 'surprise')",P0,P17,anger,surprise,False,True,0.1442521122234686
"('P0', 'P17')","('disgust', 'neutral')",P0,P17,disgust,neutral,False,True,-0.1037750578171937
"('P0', 'P17')","('disgust', 'fear')",P0,P17,disgust,fear,False,True,-0.0261746116231282
"('P0', 'P17')","('disgust', 'anger')",P0,P17,disgust,anger,False,True,-0.0769208536402955
"('P0', 'P17')","('disgust', 'disgust')",P0,P17,disgust,disgust,True,True,-0.0572514665403887
"('P0', 'P17')","('disgust', 'sadness')",P0,P17,disgust,sadness,False,True,-0.0032693315122746
"('P0', 'P17')","('disgust', 'happiness')",P0,P17,disgust,happiness,False,True,-0.0542840470700374
"('P0', 'P17')","('disgust', 'surprise')",P0,P17,disgust,surprise,False,True,0.0654979301024239
"('P0', 'P17')","('sadness', 'neutral')",P0,P17,sadness,neutral,False,True,-0.1204638628824515
"('P0', 'P17')","('sadness', 'fear')",P0,P17,sadness,fear,False,True,0.0222017596274287
"('P0', 'P17')","('sadness', 'anger')",P0,P17,sadness,anger,False,True,-0.0825070731623362
"('P0', 'P17')","('sadness', 'disgust')",P0,P17,sadness,disgust,False,True,-0.0588748939604846
"('P0', 'P17')","('sadness', 'sadness')",P0,P17,sadness,sadness,True,True,0.0420803029178172
"('P0', 'P17')","('sadness', 'happiness')",P0,P17,sadness,happiness,False,True,-0.1039509917571235
"('P0', 'P17')","('sadness', 'surprise')",P0,P17,sadness,surprise,False,True,0.0353076955458004
